Simulation Time,CRL Size,CRL Message Size
7.64012,0,
7.64012,,496
18,0,
18,,496
26.3247,0,
26.3247,,496
30,0,
30,,496
37.7976,0,
37.7976,,496
49.1908,0,
49.1908,,496
55.9139,0,
55.9139,,496
61.8885,0,
61.8885,,496
67.2137,0,
67.2137,,496
80.6746,0,
80.6746,,496
86.2768,0,
86.2768,,496
91.9043,0,
91.9043,,496
96,0,
96,,496
103.731,0,
103.731,,496
108,0,
108,,496
115.502,0,
115.502,,496
139.552,0,
139.552,,496
146.338,0,
146.338,,496
153.146,0,
153.146,,496
163.839,0,
163.839,,496
194.029,0,
194.029,,496
199.812,0,
199.812,,496
205.683,0,
205.683,,496
212.971,0,
212.971,,496
216,0,
216,,496
222,0,
222,,496
236.53,0,
236.53,,496
246,0,
246,,496
253.621,0,
253.621,,496
282,0,
282,,496
294,0,
294,,496
300,0,
300,,496
306,0,
306,,496
314.727,0,
314.727,,496
330,0,
330,,496
348,0,
348,,496
355.829,0,
355.829,,496
367.699,0,
367.699,,496
372,0,
372,,496
380.043,0,
380.043,,496
385.421,0,
385.421,,496
428.173,0,
428.173,,496
452.586,0,
452.586,,496
456,0,
456,,496
463.848,0,
463.848,,496
474,0,
474,,496
482.584,0,
482.584,,496
487.702,0,
487.702,,496
492,0,
492,,496
505.494,0,
505.494,,496
517.769,0,
517.769,,496
522,0,
522,,496
536.345,0,
536.345,,496
558,0,
558,,496
564,0,
564,,496
578.42,0,
578.42,,496
584.082,0,
584.082,,496
594,0,
594,,496
602.035,0,
602.035,,496
608.596,0,
608.596,,496
614.015,0,
614.015,,496
625.718,0,
625.718,,496
636,0,
636,,496
660,0,
660,,496
672,0,
672,,496
678,0,
678,,496
684,0,
684,,496
697.469,0,
697.469,,496
702,0,
702,,496
710.556,0,
710.556,,496
716.085,0,
716.085,,496
720,0,
720,,496
727.965,0,
727.965,,496
733.602,0,
733.602,,496
739.038,0,
739.038,,496
756,0,
756,,496
776.243,0,
776.243,,496
782.546,0,
782.546,,496
792,0,
792,,496
806.464,0,
806.464,,496
810,0,
810,,496
841.762,0,
841.762,,496
848.815,0,
848.815,,496
853.873,0,
853.873,,496
861.061,0,
861.061,,496
865.451,0,
865.451,,496
877.927,0,
877.927,,496
882,0,
882,,496
896.526,0,
896.526,,496
912,0,
912,,496
930,0,
930,,496
936,0,
936,,496
944.359,0,
944.359,,496
961.898,0,
961.898,,496
966,0,
966,,496
972,0,
972,,496
993.17,0,
993.17,,496
998.19,0,
998.19,,496
1002,13,
1002,,600
1022.12,13,
1022.12,,600
1027.95,13,
1027.95,,600
