Simulation Time,CRL Size,CRL Message Size
1033.11,13,
1033.11,,600
1046.49,13,
1046.49,,600
1056,13,
1056,,600
1062,13,
1062,,600
1075.86,13,
1075.86,,600
1081.64,13,
1081.64,,600
1094.06,13,
1094.06,,600
1098,13,
1098,,600
1111.82,13,
1111.82,,600
1134,13,
1134,,600
1141.67,13,
1141.67,,600
1148.25,13,
1148.25,,600
1164,13,
1164,,600
1170,13,
1170,,600
1177.45,13,
1177.45,,600
1182,13,
1182,,600
1188,13,
1188,,600
1195.79,13,
1195.79,,600
1200,13,
1200,,600
1207.44,13,
1207.44,,600
1213.48,13,
1213.48,,600
1225.77,13,
1225.77,,600
1236,13,
1236,,600
1243.71,13,
1243.71,,600
1249.69,13,
1249.69,,600
1254,13,
1254,,600
1262.57,13,
1262.57,,600
1274.29,13,
1274.29,,600
1279.67,13,
1279.67,,600
1286.04,13,
1286.04,,600
1296,13,
1296,,600
1310.75,13,
1310.75,,600
1327.5,13,
1327.5,,600
1332,13,
1332,,600
1338,13,
1338,,600
1346.28,13,
1346.28,,600
1351.78,13,
1351.78,,600
1368,13,
1368,,600
1374,13,
1374,,600
1381.9,13,
1381.9,,600
1387.85,13,
1387.85,,600
1400.1,13,
1400.1,,600
1406.37,13,
1406.37,,600
1417.4,13,
1417.4,,600
1429.49,13,
1429.49,,600
1448.3,13,
1448.3,,600
1454.8,13,
1454.8,,600
1458,13,
1458,,600
1466.96,13,
1466.96,,600
1470,13,
1470,,600
1484,13,
1484,,600
1490.42,13,
1490.42,,600
1496.43,13,
1496.43,,600
1518,13,
1518,,600
1526.21,13,
1526.21,,600
1531.68,13,
1531.68,,600
1538.06,13,
1538.06,,600
1543.26,13,
1543.26,,600
1554,13,
1554,,600
1566,13,
1566,,600
1572,13,
1572,,600
1586.97,13,
1586.97,,600
1602,13,
1602,,600
1610.06,13,
1610.06,,600
1616.83,13,
1616.83,,600
1626,13,
1626,,600
1646.47,13,
1646.47,,600
1653.12,13,
1653.12,,600
1674,13,
1674,,600
1680,13,
1680,,600
1693.87,13,
1693.87,,600
1706.28,13,
1706.28,,600
1710,13,
1710,,600
1716,13,
1716,,600
1722,13,
1722,,600
1734,13,
1734,,600
1748.29,13,
1748.29,,600
1752,13,
1752,,600
1759.25,13,
1759.25,,600
1770,13,
1770,,600
1789.91,13,
1789.91,,600
1796.1,13,
1796.1,,600
1800,13,
1800,,600
1812,13,
1812,,600
1820.13,13,
1820.13,,600
1824,13,
1824,,600
1836,13,
1836,,600
1851.24,13,
1851.24,,600
1868.44,13,
1868.44,,600
1873.83,13,
1873.83,,600
1879.71,13,
1879.71,,600
1884,13,
1884,,600
1890,13,
1890,,600
1899.39,13,
1899.39,,600
1903.69,13,
1903.69,,600
1909.75,13,
1909.75,,600
1926,13,
1926,,600
1938,13,
1938,,600
1945.62,13,
1945.62,,600
1950,13,
1950,,600
1976.81,13,
1976.81,,600
1982.63,13,
1982.63,,600
1999.5,13,
1999.5,,600
2004,23,
2004,,680
2018.58,23,
2018.58,,680
2022,23,
2022,,680
2028,23,
2028,,680
2037.38,23,
2037.38,,680
2041.94,23,
2041.94,,680
2048.19,23,
2048.19,,680
2072.21,23,
2072.21,,680
2078.72,23,
2078.72,,680
2082,23,
2082,,680
2095.34,23,
2095.34,,680
2101.88,23,
2101.88,,680
2119.85,23,
2119.85,,680
2126.34,23,
2126.34,,680
2131.79,23,
2131.79,,680
2137.53,23,
2137.53,,680
2161.84,23,
2161.84,,680
2166,23,
2166,,680
2173.59,23,
2173.59,,680
2178,23,
2178,,680
2185.65,23,
2185.65,,680
2192.25,23,
2192.25,,680
2204.25,23,
2204.25,,680
2208,23,
2208,,680
2214,23,
2214,,680
2227.72,23,
2227.72,,680
2240.33,23,
2240.33,,680
2245.11,23,
2245.11,,680
2252.08,23,
2252.08,,680
2256,23,
2256,,680
2275.67,23,
2275.67,,680
2281.5,23,
2281.5,,680
2288.08,23,
2288.08,,680
2300.04,23,
2300.04,,680
2304,23,
2304,,680
2312.61,23,
2312.61,,680
2329.47,23,
2329.47,,680
2340,23,
2340,,680
2352,23,
2352,,680
2365.82,23,
2365.82,,680
2378.14,23,
2378.14,,680
2390.53,23,
2390.53,,680
2401.28,23,
2401.28,,680
2413.72,23,
2413.72,,680
2424,23,
2424,,680
2442,23,
2442,,680
2449.21,23,
2449.21,,680
2461.65,23,
2461.65,,680
2485.65,23,
2485.65,,680
2498.69,23,
2498.69,,680
2504.19,23,
2504.19,,680
2526.95,23,
2526.95,,680
2540.16,23,
2540.16,,680
2545.95,23,
2545.95,,680
2558.35,23,
2558.35,,680
2598,23,
2598,,680
2606.08,23,
2606.08,,680
2616,23,
2616,,680
2622,23,
2622,,680
2630,23,
2630,,680
2636.22,23,
2636.22,,680
2647.74,23,
2647.74,,680
2659.86,23,
2659.86,,680
2670,23,
2670,,680
2689.78,23,
2689.78,,680
2708.25,23,
2708.25,,680
2713.44,23,
2713.44,,680
2718,23,
2718,,680
2725.96,23,
2725.96,,680
2730,23,
2730,,680
2736.63,23,
2736.63,,680
2744.23,23,
2744.23,,680
2755.79,23,
2755.79,,680
2762.27,23,
2762.27,,680
2766,23,
2766,,680
2772,23,
2772,,680
2778.88,23,
2778.88,,680
2803.9,23,
2803.9,,680
2822.01,23,
2822.01,,680
2833.51,23,
2833.51,,680
2838,23,
2838,,680
2851.51,23,
2851.51,,680
2856,23,
2856,,680
2862,23,
2862,,680
2869.52,23,
2869.52,,680
2874,23,
2874,,680
2881,23,
2881,,680
2918.73,23,
2918.73,,680
2929.82,23,
2929.82,,680
2959.88,23,
2959.88,,680
2966.42,23,
2966.42,,680
2973.34,23,
2973.34,,680
2988,23,
2988,,680
3002.84,23,
3002.84,,680
3012,23,
3012,,680
3024,23,
3024,,680
3036,23,
3036,,680
3055.52,23,
3055.52,,680
3066,23,
3066,,680
3074.05,23,
3074.05,,680
3078,23,
3078,,680
3084,23,
3084,,680
3090,23,
3090,,680
3097.65,23,
3097.65,,680
3102,23,
3102,,680
3110,23,
3110,,680
3114,23,
3114,,680
3133.56,23,
3133.56,,680
3140.58,23,
3140.58,,680
3146.46,23,
3146.46,,680
3152.28,23,
3152.28,,680
3156,23,
3156,,680
3170.62,23,
3170.62,,680
3174,23,
3174,,680
3181.89,23,
3181.89,,680
3198,23,
3198,,680
3211.63,23,
3211.63,,680
3216,23,
3216,,680
3223.4,23,
3223.4,,680
3230.37,23,
3230.37,,680
3234,23,
3234,,680
3242.24,23,
3242.24,,680
3248.52,23,
3248.52,,680
3270,23,
3270,,680
3278.29,23,
3278.29,,680
3282,23,
3282,,680
3295.2,23,
3295.2,,680
3300,23,
3300,,680
3307.7,23,
3307.7,,680
3331.51,23,
3331.51,,680
3336,23,
3336,,680
3344.38,23,
3344.38,,680
3355.37,23,
3355.37,,680
3360,23,
3360,,680
3366,23,
3366,,680
3380.04,23,
3380.04,,680
3384,23,
3384,,680
3396,23,
3396,,680
3402,23,
3402,,680
3408,23,
3408,,680
3415.02,23,
3415.02,,680
3432,23,
3432,,680
3438,23,
3438,,680
3446.34,23,
3446.34,,680
3450,23,
3450,,680
3456,23,
3456,,680
3463.98,23,
3463.98,,680
3475.67,23,
3475.67,,680
3487.39,23,
3487.39,,680
3498,23,
3498,,680
3504,23,
3504,,680
3512.91,23,
3512.91,,680
3518.8,23,
3518.8,,680
3523.81,23,
3523.81,,680
3530.49,23,
3530.49,,680
3534,23,
3534,,680
3547.92,23,
3547.92,,680
3558,23,
3558,,680
3564,23,
3564,,680
3582,23,
3582,,680
3594,23,
3594,,680
