Simulation Time,CRL Size,CRL Message Size
6,0,
6,,496
14.6416,0,
14.6416,,496
31.5881,0,
31.5881,,496
43.0354,0,
43.0354,,496
50.5295,0,
50.5295,,496
61.5106,0,
61.5106,,496
67.3509,2,
67.3509,,512
74.2404,2,
74.2404,,512
84,2,
84,,512
90,2,
90,,512
110.823,2,
110.823,,512
129.024,5,
129.024,,536
132,5,
132,,536
140.908,5,
140.908,,536
145.531,5,
145.531,,536
151.785,5,
151.785,,536
156,5,
156,,536
171.147,8,
171.147,,560
188.503,8,
188.503,,560
194.049,8,
194.049,,560
199.977,8,
199.977,,560
204,8,
204,,560
210,8,
210,,560
222,8,
222,,560
234,11,
234,,584
241.731,11,
241.731,,584
248.211,11,
248.211,,584
255.295,11,
255.295,,584
260.085,11,
260.085,,584
264,11,
264,,584
278.373,13,
278.373,,600
289.254,13,
289.254,,600
294,13,
294,,600
300,13,
300,,600
319.492,16,
319.492,,624
336,16,
336,,624
350.131,16,
350.131,,624
360,16,
360,,624
367.489,16,
367.489,,624
374.07,16,
374.07,,624
378,18,
378,,640
386.185,18,
386.185,,640
392.79,18,
392.79,,640
398.505,18,
398.505,,640
414,18,
414,,640
426,20,
426,,656
451.62,20,
451.62,,656
457.724,20,
457.724,,656
475.79,23,
475.79,,680
482.542,23,
482.542,,680
510,23,
510,,680
518.182,23,
518.182,,680
523.799,23,
523.799,,680
530.754,23,
530.754,,680
536.012,23,
536.012,,680
547.879,25,
547.879,,696
553.675,25,
553.675,,696
566.349,25,
566.349,,696
571.581,25,
571.581,,696
576,25,
576,,696
584.013,25,
584.013,,696
607.956,26,
607.956,,704
614.694,26,
614.694,,704
649.475,28,
649.475,,720
661.811,28,
661.811,,720
668.295,28,
668.295,,720
679.616,28,
679.616,,720
685.411,28,
685.411,,720
690,28,
690,,720
696,28,
696,,720
708.629,28,
708.629,,720
727.349,30,
727.349,,736
734.097,30,
734.097,,736
751.292,30,
751.292,,736
756,30,
756,,736
782.144,33,
782.144,,760
786,33,
786,,760
792,33,
792,,760
800.387,33,
800.387,,760
804,33,
804,,760
811.191,33,
811.191,,760
817.978,33,
817.978,,760
829.854,33,
829.854,,760
842.433,34,
842.433,,768
848.285,34,
848.285,,768
852,34,
852,,768
873.081,34,
873.081,,768
894,34,
894,,768
900,34,
900,,768
