Simulation Time,CRL Size,CRL Message Size
920.349,37,
920.349,,792
931.52,37,
931.52,,792
942,37,
942,,792
950.972,37,
950.972,,792
960,37,
960,,792
967.283,37,
967.283,,792
973.784,37,
973.784,,792
985.666,38,
985.666,,800
999.004,38,
999.004,,800
1002,38,
1002,,800
1009.98,38,
1009.98,,800
1026,38,
1026,,800
1033.91,38,
1033.91,,800
1038,38,
1038,,800
1046.87,41,
1046.87,,824
1069.99,41,
1069.99,,824
1076.06,41,
1076.06,,824
1080,41,
1080,,824
1093.43,44,
1093.43,,848
1099.17,44,
1099.17,,848
1104.91,44,
1104.91,,848
1111.59,44,
1111.59,,848
1116,44,
1116,,848
1148.57,44,
1148.57,,848
1153.87,44,
1153.87,,848
1170,45,
1170,,856
1176,45,
1176,,856
1182,45,
1182,,856
1195.47,45,
1195.47,,856
1207.8,45,
1207.8,,856
1214.25,45,
1214.25,,856
1224,45,
1224,,856
1232.01,48,
1232.01,,880
1237.88,48,
1237.88,,880
1242,48,
1242,,880
1255.59,48,
1255.59,,880
1260,48,
1260,,880
1269.19,48,
1269.19,,880
1272,48,
1272,,880
1284,48,
1284,,880
1290,48,
1290,,880
1297.49,48,
1297.49,,880
1305.21,51,
1305.21,,904
1309.67,51,
1309.67,,904
1316.55,51,
1316.55,,904
1321.33,51,
1321.33,,904
1329.11,51,
1329.11,,904
1338,51,
1338,,904
1363.73,52,
1363.73,,912
1382,52,
1382,,912
1388.75,52,
1388.75,,912
1400.19,54,
1400.19,,928
1411.69,54,
1411.69,,928
1416.96,54,
1416.96,,928
1424.18,54,
1424.18,,928
1429.34,54,
1429.34,,928
1434,54,
1434,,928
1454.36,56,
1454.36,,944
1461.06,56,
1461.06,,944
1464,56,
1464,,944
1478.12,56,
1478.12,,944
1483.68,56,
1483.68,,944
1501.23,56,
1501.23,,944
1525.69,59,
1525.69,,968
1538.01,59,
1538.01,,968
1544.03,59,
1544.03,,968
1548,59,
1548,,968
1555.79,59,
1555.79,,968
1561.38,59,
1561.38,,968
1573.96,59,
1573.96,,968
1578,60,
1578,,976
1586.64,60,
1586.64,,976
1590,60,
1590,,976
1596,60,
1596,,976
1604.94,60,
1604.94,,976
1615.44,60,
1615.44,,976
1626,61,
1626,,984
1639.97,61,
1639.97,,984
1646.55,61,
1646.55,,984
1651.38,61,
1651.38,,984
1657.67,61,
1657.67,,984
1669.62,61,
1669.62,,984
1681.69,64,
1681.69,,1008
1692,64,
1692,,1008
1705.18,64,
1705.18,,1008
1711.66,64,
1711.66,,1008
1716,64,
1716,,1008
1722,64,
1722,,1008
1758,66,
1758,,1024
1766.7,66,
1766.7,,1024
1776,66,
1776,,1024
1794,66,
1794,,1024
1801.98,66,
1801.98,,1024
1808.61,69,
1808.61,,1048
1814.5,69,
1814.5,,1048
1819.76,69,
1819.76,,1048
1830,69,
1830,,1048
1849.24,69,
1849.24,,1048
1856.04,69,
1856.04,,1048
1868,72,
1868,,1072
1873.8,72,
1873.8,,1072
1880.85,72,
1880.85,,1072
1902,72,
1902,,1072
1909.72,72,
1909.72,,1072
1914,72,
1914,,1072
1920,72,
1920,,1072
1926,72,
1926,,1072
1938,72,
1938,,1072
1944,72,
1944,,1072
1956,75,
1956,,1096
1969.29,75,
1969.29,,1096
1976.21,75,
1976.21,,1096
1987.71,75,
1987.71,,1096
1993.86,75,
1993.86,,1096
2000.15,75,
2000.15,,1096
2005.48,75,
2005.48,,1096
2011.86,75,
2011.86,,1096
2024.62,78,
2024.62,,1120
2028,78,
2028,,1120
2036.01,78,
2036.01,,1120
2041.65,78,
2041.65,,1120
2048.44,78,
2048.44,,1120
2052,78,
2052,,1120
2078.52,78,
2078.52,,1120
2090.02,80,
2090.02,,1136
2114.01,80,
2114.01,,1136
2119.71,80,
2119.71,,1136
2124,80,
2124,,1136
2151.2,81,
2151.2,,1144
2154,81,
2154,,1144
2160,81,
2160,,1144
2180.76,83,
2180.76,,1160
2190,83,
2190,,1160
2196,83,
2196,,1160
2233.27,83,
2233.27,,1160
2239.9,83,
2239.9,,1160
2245.66,83,
2245.66,,1160
2252.59,86,
2252.59,,1184
2257.94,86,
2257.94,,1184
2264.11,86,
2264.11,,1184
2268,86,
2268,,1184
2275.85,86,
2275.85,,1184
2287.81,86,
2287.81,,1184
2292,89,
2292,,1208
2300.2,89,
2300.2,,1208
2311.66,89,
2311.66,,1208
2329.93,89,
2329.93,,1208
2342.89,89,
2342.89,,1208
2348.17,89,
2348.17,,1208
2354.44,89,
2354.44,,1208
2358,89,
2358,,1208
2364,90,
2364,,1216
2370,90,
2370,,1216
2376,90,
2376,,1216
2384.62,90,
2384.62,,1216
2390.58,90,
2390.58,,1216
2394,90,
2394,,1216
2400,90,
2400,,1216
2406,90,
2406,,1216
2420.54,90,
2420.54,,1216
2425.42,90,
2425.42,,1216
2437.84,93,
2437.84,,1240
2462.53,93,
2462.53,,1240
2484,93,
2484,,1240
2496,95,
2496,,1256
2509.5,95,
2509.5,,1256
2521.56,95,
2521.56,,1256
2528.09,96,
2528.09,,1264
2550,96,
2550,,1264
2581.84,96,
2581.84,,1264
2587.18,96,
2587.18,,1264
2598,98,
2598,,1280
2616,98,
2616,,1280
2624.08,98,
2624.08,,1280
2628,98,
2628,,1280
2641.39,98,
2641.39,,1280
2646,98,
2646,,1280
2660.06,101,
2660.06,,1304
2666.23,101,
2666.23,,1304
2670,101,
2670,,1304
2689.37,101,
2689.37,,1304
2695.29,101,
2695.29,,1304
2702.22,101,
2702.22,,1304
2708.5,101,
2708.5,,1304
2712,103,
2712,,1320
2720.32,103,
2720.32,,1320
2737.8,103,
2737.8,,1320
2743.3,103,
2743.3,,1320
2755.73,103,
2755.73,,1320
2772,103,
2772,,1320
2778,104,
2778,,1328
2790,104,
2790,,1328
2803.86,104,
2803.86,,1328
2809.33,104,
2809.33,,1328
2814,104,
2814,,1328
2828.28,105,
2828.28,,1336
2838,105,
2838,,1336
2851.94,105,
2851.94,,1336
2889.04,108,
2889.04,,1360
2893.75,108,
2893.75,,1360
2905.65,108,
2905.65,,1360
2916,108,
2916,,1360
2925,108,
2925,,1360
2958,110,
2958,,1376
2964,110,
2964,,1376
2972.46,110,
2972.46,,1376
2977.7,110,
2977.7,,1376
2988,110,
2988,,1376
3002.12,111,
3002.12,,1384
3018,111,
3018,,1384
3036,111,
3036,,1384
3042,111,
3042,,1384
3078,112,
3078,,1392
3086.56,112,
3086.56,,1392
3096,112,
3096,,1392
3102,112,
3102,,1392
3115.71,115,
3115.71,,1416
3120,115,
3120,,1416
3128.91,115,
3128.91,,1416
3174,115,
3174,,1416
3199.63,118,
3199.63,,1440
3206.04,118,
3206.04,,1440
3218.25,118,
3218.25,,1440
3228,121,
3228,,1464
3234.94,121,
3234.94,,1464
3242.15,121,
3242.15,,1464
3248.14,121,
3248.14,,1464
3255.11,121,
3255.11,,1464
3260.06,121,
3260.06,,1464
3265.91,123,
3265.91,,1480
3270,123,
3270,,1480
3283.08,123,
3283.08,,1480
3312,123,
3312,,1480
3324,123,
3324,,1480
3331.54,124,
3331.54,,1488
3338.83,124,
3338.83,,1488
3350.22,124,
3350.22,,1488
3374.23,124,
3374.23,,1488
3378,124,
3378,,1488
3386.51,124,
3386.51,,1488
3392.33,124,
3392.33,,1488
3397.84,126,
3397.84,,1504
3420,126,
3420,,1504
3427.98,126,
3427.98,,1504
3440.06,126,
3440.06,,1504
3444,126,
3444,,1504
3450,126,
3450,,1504
3457.23,129,
3457.23,,1528
3469.08,129,
3469.08,,1528
3481.94,129,
3481.94,,1528
3488.25,129,
3488.25,,1528
3492,129,
3492,,1528
3504,130,
3504,,1536
3547.61,130,
3547.61,,1536
3554.14,132,
3554.14,,1552
3558,132,
3558,,1552
3570,132,
3570,,1552
3576,132,
3576,,1552
3583.59,132,
3583.59,,1552
3588,132,
3588,,1552
3596.18,132,
3596.18,,1552
