Vehicle_ID,Effective_Revocation_Time
66240f466bda8db7,3.802851000000004
ebecda9777cb6f35,3.3609440000000035
b8f58652365988a8,14.461179999999999
50052e2bc4d8b7e8,14.961934999999997
46a63b6e94cf1f26,14.938540000000003
7d8dc54871542aab,13.033299
fbd3941e8cf6fe26,13.372064999999992
83ff3a64db857e0a,13.316757999999993
2c0990113a739a4b,12.617485999999985
7b0cd5f1dd4604c9,11.70191699999998
af7d2f111a3f4b90,12.556471999999985
92c29dbf025a36d7,8.159141000000034
45bc3b5f1a8474a9,7.918290000000013
6f55ca1fe3fc7c45,7.3488419999999905
6a07777aaa4bb12f,7.432327999999984
3f25eda78827a166,7.232348000000002
2df22762565c360b,2.984892000000002
2e753668af0d6f7d,4.1933500000000095
d852e0e600c047d0,3.935356000000013
37e5cd0c418d166e,13.952898999999945
1006b50167397405,13.952095999999983
d045c9a4dbe0657e,13.774235999999974
bea6f838486c14a2,8.31471799999997
9206f58516103277,21.927753999999936
4367daae4825bf6a,8.776258999999982
c2831bc2f901dac1,8.908155999999963
c77e6256a6db5cf5,17.784415999999965
4590193510b53989,17.080078999999955
365b41ad9da6c18f,15.325735000000009
39f81dbdd35a6b28,15.81132100000002
dcce3718145c220e,16.013807000000043
9d358ed9f9464894,7.724689000000012
edf7f9b04b0a057e,6.760786000000053
56ebffdd5da8bb8e,7.582647000000065
44e383b3bb4609d3,8.065743999999995
f92206545c1cdb9c,24.746601000000055
d03970a3062fee49,24.923978000000034
1889655c7c44c247,3.782551999999896
701e7b18b0cc744a,4.278596999999991
53b43ef600c2b4f0,5.167708999999832
5d0a25573b5f5ee4,5.244644999999991
922e07a498d5a810,6.085555999999997
e73ed5f1d06db78f,4.458065000000033
9041c661fd12c9bc,20.590928000000076
9952d4f32906398c,2.064193999999816
ddff585cdf7954f0,9.624685
efd6599bba3d2d33,10.252381000000014
14687383ee94644b,13.765620000000126
cf3ab3e7255c13a4,14.370517000000063
3a3e1c4f87bc6ec7,4.739306999999826
f474dae6a20a9cfb,6.7249960000001465
efb25eb419d3b791,9.432400000000143
7cca26ea142419bf,6.499475999999959
237b640f0a0406a2,6.059867999999824
91ae6c25466f93f3,6.252277999999933
b139cd5ecc1abaa0,4.099467999999888
3d409f5f9b1c849b,3.4835229999998774
abcbcf067950fdc2,2.8866959999995743
ec36d112c2cf9bf7,10.685707000000093
02083a51032e1107,10.267933999999968
ff4c75594630fa50,2.8261359999996785
e5b92fe6f9a85cff,3.448178999999982
d6768f5bd05fe0db,28.312546999999995
dc27e4efd11ed789,32.14658899999995
9e881a1d8cce3887,20.341975000000275
ac44cbeae2ec670c,3.935903999999937
4aa74a84fb84831b,23.044848
