Simulation Time,CRL Size,CRL Message Size
110.608,0,
110.608,,496
180,0,
180,,496
218.153,0,
218.153,,496
288,0,
288,,496
326.161,0,
326.161,,496
398.619,0,
398.619,,496
433.08,0,
433.08,,496
504,0,
504,,496
541.68,0,
541.68,,496
578.845,0,
578.845,,496
614.346,0,
614.346,,496
649.413,0,
649.413,,496
685.842,0,
685.842,,496
758.698,0,
758.698,,496
828,0,
828,,496
865.754,0,
865.754,,496
902.681,0,
902.681,,496
1008,19,
1008,,648
1154.86,19,
1154.86,,648
1189.76,19,
1189.76,,648
1226.43,19,
1226.43,,648
1260,19,
1260,,648
1332,19,
1332,,648
1369.95,19,
1369.95,,648
1405.91,19,
1405.91,,648
1441.8,19,
1441.8,,648
1478.72,19,
1478.72,,648
1514.05,19,
1514.05,,648
1549.67,19,
1549.67,,648
1586.08,19,
1586.08,,648
1620,19,
1620,,648
1656,19,
1656,,648
1766.24,19,
1766.24,,648
1837.63,19,
1837.63,,648
1874.85,19,
1874.85,,648
1909.63,19,
1909.63,,648
1945.49,19,
1945.49,,648
1982.21,19,
1982.21,,648
2052,32,
2052,,752
2162.18,32,
2162.18,,752
2341.74,32,
2341.74,,752
2378.01,32,
2378.01,,752
2484,32,
2484,,752
2592,32,
2592,,752
2630.47,32,
2630.47,,752
2664,32,
2664,,752
2701.77,32,
2701.77,,752
2845.84,32,
2845.84,,752
2881.61,32,
2881.61,,752
2954.17,32,
2954.17,,752
3026.94,32,
3026.94,,752
3060,32,
3060,,752
3133.2,32,
3133.2,,752
3169.41,32,
3169.41,,752
3242.75,32,
3242.75,,752
3313.39,32,
3313.39,,752
3350.1,32,
3350.1,,752
3384,32,
3384,,752
3422.55,32,
3422.55,,752
3458.43,32,
3458.43,,752
3529.52,32,
3529.52,,752
3564,32,
3564,,752
