Simulation Time,CRL Size,CRL Message Size
72,1,
72,,504
147.021,2,
147.021,,512
181.96,3,
181.96,,520
218.437,3,
218.437,,520
289.463,4,
289.463,,528
540,14,
540,,608
576,17,
576,,632
612,17,
612,,632
686.183,22,
686.183,,672
721.311,22,
721.311,,672
792,25,
792,,696
829.823,27,
829.823,,712
865.839,28,
865.839,,720
901.582,29,
901.582,,728
936,29,
936,,728
1046.9,33,
1046.9,,760
1080,36,
1080,,784
1190.09,37,
1190.09,,792
1225.98,39,
1225.98,,808
1263.03,39,
1263.03,,808
1297.11,42,
1297.11,,832
1334.63,45,
1334.63,,856
1369.47,46,
1369.47,,864
1478.39,48,
1478.39,,880
1512,50,
1512,,896
1620,54,
1620,,928
1659.02,54,
1659.02,,928
1729.68,57,
1729.68,,952
1766.39,58,
1766.39,,960
1802.36,59,
1802.36,,968
1837.8,59,
1837.8,,968
1872,60,
1872,,976
1908,62,
1908,,992
1945.87,62,
1945.87,,992
1982.17,65,
1982.17,,1016
2053.92,68,
2053.92,,1040
2090.27,69,
2090.27,,1048
2161.69,71,
2161.69,,1064
2232,74,
2232,,1088
2271.31,75,
2271.31,,1096
2304,75,
2304,,1096
2484,80,
2484,,1136
2522.37,81,
2522.37,,1144
2558.61,82,
2558.61,,1152
2629.51,85,
2629.51,,1176
2702.72,89,
2702.72,,1208
2773.56,90,
2773.56,,1216
2809.43,92,
2809.43,,1232
2844,92,
2844,,1232
3097.92,101,
3097.92,,1304
3134.59,102,
3134.59,,1312
3169.68,102,
3169.68,,1312
3205.89,103,
3205.89,,1320
3240,103,
3240,,1320
3277.35,104,
3277.35,,1328
3312,106,
3312,,1344
3349.91,106,
3349.91,,1344
3422.24,112,
3422.24,,1392
3529.47,113,
3529.47,,1400
3565.34,115,
3565.34,,1416
